Line_no,Flight_ID,Lon,Lat,x,y,Height_WGS1984,Date,Time,ST,CC,RB,XACC,LACC,Still,Base,ST_real,Beam_vel,rec_grav,Abs_grav,VaccCor,EotvosCor,LatCor,FaCor,HaccCor,Free_air,FAA_filt,FAA_clip,Level_cor,FAA_level,Fa_4600m
0,3,166.668647,-77.883648,3357848.385703,983220.628748,862.8,2008/12/06,*,13097.7,5.47,5562.1,531.0,-84.0,12144.24,981970.73,13097.7,-125.0,9321.37,979147.86,-7496.57,255.92,982988.29,267.53,-10.88,4190.5,-47.69,-47.69,*,*,*
0,3,166.671337,-77.883584,3357860.63141,983158.404045,863.0,2008/12/06,*,13097.7,7.73,5441.8,530.0,-114.0,12144.24,981970.73,13097.7,-248.75,5623.74,975450.23,-7829.52,256.08,982988.28,267.594,-9.84,825.0,-47.93,-47.93,*,*,*
0,3,166.674028,-77.883518,3357873.031989,983096.166514,863.1,2008/12/06,*,13097.7,11.19,5064.6,571.0,-174.0,12144.24,981970.73,13097.7,-357.85,2365.32,972191.81,-7978.28,256.27,982988.28,267.636,0.69,-2295.0,-48.17,-48.17,*,*,*
0,3,166.67672,-77.88345,3357885.592756,983033.908201,863.2,2008/12/06,*,13097.7,13.65,4726.1,612.0,-240.0,12144.24,981970.73,13097.7,-305.25,3940.41,973766.89,-8742.94,256.53,982988.28,267.659,10.87,34.9,-48.41,-48.41,*,*,*
0,3,166.679414,-77.883381,3357898.327537,982971.612286,863.1,2008/12/06,*,13097.7,15.29,4454.1,603.0,-278.0,12144.24,981970.73,13097.7,-247.8,5659.68,975486.17,-5846.73,256.84,982988.28,267.649,23.72,-1154.6,-48.64,-48.64,*,*,*
0,3,166.682111,-77.883311,3357911.223907,982909.2752,863.0,2008/12/06,*,13116.87,13.57,4230.5,550.0,-263.0,12144.24,981970.73,13097.7,-174.6,7846.5,977672.99,-889.36,257.15,982988.27,267.618,22.92,-3924.1,-48.88,-48.88,*,*,*
0,3,166.68481,-77.883239,3357924.253372,982846.894805,862.9,2008/12/06,*,13116.87,12.94,4104.9,343.0,-268.0,12144.24,981970.73,13116.87,-28.0,12248.02,982074.51,6037.38,257.5,982988.27,267.571,32.42,-6458.5,-49.12,-49.12,*,*,*
0,3,166.687511,-77.883166,3357937.453375,982784.472083,862.8,2008/12/06,*,13116.87,12.55,4174.5,536.0,-262.0,12144.24,981970.73,13116.87,196.8,18968.71,988795.19,11076.54,257.73,982988.27,267.552,68.87,-4813.2,-49.35,-49.35,*,*,*
0,3,166.690213,-77.883091,3357950.836562,982722.033627,862.9,2008/12/06,*,13116.87,10.23,4498.5,607.0,-206.0,12144.24,981970.73,13116.87,303.3,22150.53,991977.02,8669.57,257.89,982988.27,267.562,86.12,758.5,-49.58,-49.58,*,*,*
0,3,166.692916,-77.883014,3357964.433063,982659.593771,863.0,2008/12/06,*,13116.87,6.89,4781.1,622.0,-126.0,12144.24,981970.73,13116.87,216.1,19540.1,989366.58,1591.6,257.96,982988.26,267.591,103.63,5208.6,-49.82,-49.82,*,*,*
0,3,166.69562,-77.882936,3357978.231504,982597.16663,863.2,2008/12/06,*,13116.87,4.7,4930.7,615.0,-82.0,12144.24,981970.73,13116.87,73.5,15274.46,985100.95,-325.21,258.05,982988.26,267.645,121.8,2841.8,-50.05,-50.05,*,*,*
0,3,166.698323,-77.882855,3357992.249051,982534.76009,863.3,2008/12/06,*,13116.87,2.16,4928.1,640.0,-24.0,12144.24,981970.73,13116.87,31.9,14028.17,983854.66,7384.76,257.99,982988.26,267.692,143.24,-6135.9,-50.29,-50.29,*,*,*
0,3,166.701025,-77.882773,3358006.484629,982472.39892,863.6,2008/12/06,*,13116.87,-2.52,4994.5,610.0,30.0,12144.24,981970.73,13116.87,201.85,19104.67,988931.16,8446.83,257.89,982988.25,267.755,163.85,-2142.1,-50.53,-50.53,*,*,*
0,3,166.703725,-77.882688,3358020.948488,982410.09573,863.9,2008/12/06,*,13116.87,-6.83,5331.8,613.0,99.0,12144.24,981970.73,13116.87,228.4,19894.17,989720.66,-839.69,257.72,982988.25,267.852,169.9,7927.8,-50.77,-50.77,*,*,*
0,3,166.706423,-77.882602,3358035.611123,982347.849316,864.2,2008/12/06,*,13116.87,-7.53,5451.3,470.0,116.0,12144.24,981970.73,13116.87,7.4,13286.01,983112.5,-8158.64,257.6,982988.25,267.941,138.41,8670.0,-51.0,-51.0,*,*,*
0,3,166.70912,-77.882513,3358050.45022,982285.65214,864.4,2008/12/06,*,13119.78,-4.93,5346.6,360.0,83.0,12144.24,981970.73,13116.87,-260.0,5293.88,975120.37,-9180.72,257.52,982988.24,268.03,159.38,1679.0,-51.23,-51.23,*,*,*
0,3,166.711816,-77.882423,3358065.486537,982223.496304,864.5,2008/12/06,*,13119.78,-0.36,4931.3,461.0,26.0,12144.24,981970.73,13119.78,-347.05,2698.71,972525.2,-3711.64,257.45,982988.24,268.076,213.3,-6439.2,-51.46,-51.46,*,*,*
0,3,166.714511,-77.882331,3358080.766138,982161.385673,864.6,2008/12/06,*,13119.78,0.61,4652.5,610.0,-15.0,12144.24,981970.73,13119.78,-126.45,9295.18,979121.66,-21.47,257.47,982988.24,268.098,231.19,-3550.7,-51.68,-51.68,*,*,*
0,3,166.717204,-77.882237,3358096.271515,982099.312453,864.7,2008/12/06,*,13119.78,0.15,4678.4,475.0,7.0,12144.24,981970.73,13119.78,-32.15,12114.1,981940.59,-1711.44,257.38,982988.23,268.129,177.91,1011.4,-51.89,-51.89,*,*,*
0,3,166.719897,-77.882141,3358111.956831,982037.274395,864.8,2008/12/06,*,13119.78,-0.45,4588.2,276.0,8.0,12144.24,981970.73,13119.78,-76.65,10783.04,980609.53,-2412.47,257.4,982988.23,268.156,169.78,389.5,-52.1,-52.1,*,*,*
0,3,166.72259,-77.882043,3358127.810727,981975.256316,864.8,2008/12/06,*,13119.78,1.18,4525.1,214.0,-27.0,12144.24,981970.73,13119.78,-56.6,11384.12,981210.61,36.74,257.44,982988.23,268.171,123.63,-1412.4,-52.3,-52.3,*,*,*
0,3,166.725282,-77.881945,3358143.803868,981913.250733,864.9,2008/12/06,*,13119.78,3.67,4475.0,171.0,-73.0,12144.24,981970.73,13119.78,-37.35,11962.14,981788.63,-935.34,257.5,982988.22,268.188,74.86,186.6,-52.5,-52.5,*,*,*
0,3,166.727975,-77.881845,3358159.888754,981851.243015,864.9,2008/12/06,*,13119.78,4.03,4450.4,-182.0,-69.0,12144.24,981970.73,13119.78,-7.15,12865.42,982691.9,-3601.72,257.54,982988.22,268.205,-70.71,3901.9,-52.69,-52.69,*,*,*
0,3,166.730668,-77.881746,3358175.947773,981789.227615,864.9,2008/12/06,*,13119.78,-1.17,4460.7,-578.0,18.0,12144.24,981970.73,13119.78,-66.6,11082.8,980909.29,3077.83,257.56,982988.22,268.203,-176.26,-4454.7,-52.87,-52.87,*,*,*
0,3,166.733361,-77.881647,3358191.909156,981727.204478,865.0,2008/12/06,*,13119.78,1.2,4317.2,-843.0,0.0,12144.24,981970.73,13119.78,112.3,16433.91,986260.4,11685.44,257.36,982988.21,268.205,-253.63,-7634.1,-53.05,-53.05,*,*,*
0,3,166.736053,-77.88155,3358207.710778,981665.194787,865.1,2008/12/06,*,13107.07,-3.17,4685.3,-986.0,97.0,12144.24,981970.73,13107.07,323.7,22737.33,992563.82,9127.86,257.24,982988.21,268.248,-278.88,1252.1,-53.23,-53.23,*,*,*
0,3,166.738744,-77.881455,3358223.26713,981603.179845,865.4,2008/12/06,*,13107.07,-4.66,4964.6,-1303.0,114.0,12144.24,981970.73,13107.07,205.7,19207.88,989034.37,712.97,257.0,982988.2,268.312,-414.33,6272.8,-53.4,-53.4,*,*,*
0,3,166.741434,-77.881363,3358238.436329,981541.143328,865.6,2008/12/06,*,13107.07,-5.41,5096.7,-1814.0,85.0,12144.24,981970.73,13107.07,96.25,15934.8,985761.28,-796.59,256.98,982988.2,268.383,-414.71,4509.7,-53.56,-53.56,*,*,*
0,3,166.744125,-77.881276,3358253.133232,981479.057881,865.9,2008/12/06,*,13107.07,-3.56,5157.1,-2170.0,36.0,12144.24,981970.73,13107.07,-47.1,11650.76,981477.25,6778.72,256.76,982988.2,268.467,-329.4,-7435.0,-53.72,-53.72,*,*,*
0,3,166.746816,-77.881194,3358267.293975,981416.932491,866.2,2008/12/06,*,13107.07,-0.66,5002.5,-2158.0,19.0,12144.24,981970.73,13107.07,125.75,16821.52,986648.01,6588.53,256.67,982988.19,268.549,-215.18,-2188.3,-53.87,-53.87,*,*,*
0,3,166.749508,-77.881116,3358280.846046,981354.75107,866.6,2008/12/06,*,13107.07,4.47,5408.6,-2468.0,52.0,12144.24,981970.73,13107.07,210.75,19367.96,989194.45,-9429.73,256.48,982988.19,268.671,-54.18,16215.3,-54.01,-54.01,*,*,*
0,3,166.752199,-77.881045,3358293.729076,981292.512554,866.9,2008/12/06,*,13107.07,-8.38,5424.0,-2666.0,19.0,12144.24,981970.73,13107.07,-333.65,3078.69,972905.17,-21806.16,256.42,982988.19,268.783,136.13,12112.2,-54.14,-54.14,*,*,*
0,3,166.754892,-77.88098,3358305.965269,981230.197161,866.9,2008/12/06,*,13107.07,-8.67,4741.3,-2377.0,-77.0,12144.24,981970.73,13107.07,-726.15,-8656.57,961169.92,-18779.08,256.5,982988.19,268.817,253.52,-2767.4,-54.26,-54.26,*,*,*
0,3,166.757586,-77.88092,3358317.675471,981167.79527,866.8,2008/12/06,*,13107.07,1.32,3971.7,-1753.0,-183.0,12144.24,981970.73,13107.07,-609.25,-5151.54,964674.95,-11805.25,256.6,982988.18,268.788,326.58,-6309.2,-54.36,-54.36,*,*,*
0,3,166.760282,-77.880863,3358328.901914,981105.306882,866.6,2008/12/06,*,13107.07,6.12,3522.8,-1687.0,-204.0,12144.24,981970.73,13107.07,-381.45,1664.01,971490.5,-8034.57,256.82,982988.18,268.729,342.22,-3279.8,-54.46,-54.46,*,*,*
0,3,166.762981,-77.880811,3358339.759997,981042.733954,866.2,2008/12/06,*,13084.16,2.98,3208.8,-1090.0,-177.0,12144.24,981970.73,13084.16,-332.7,3095.58,972922.07,-3667.39,257.05,982988.18,268.632,186.05,-6059.1,-54.56,-54.56,*,*,*
0,3,166.765682,-77.880759,3358350.437191,980980.101761,865.9,2008/12/06,*,13084.16,6.06,2857.4,-266.0,-196.0,12144.24,981970.73,13084.16,-164.8,8118.52,977945.01,-3802.39,257.18,982988.18,268.522,45.93,-761.0,-54.65,-54.65,*,*,*
0,3,166.768384,-77.880709,3358361.034585,980917.425654,865.5,2008/12/06,*,13084.16,4.63,2879.2,167.0,-126.0,12144.24,981970.73,13084.16,-180.5,7647.7,977474.19,-9531.45,257.44,982988.18,268.409,34.64,4508.7,-54.73,-54.73,*,*,*
0,3,166.771088,-77.880659,3358371.580211,980854.695224,865.0,2008/12/06,*,13084.16,4.71,2496.4,154.0,-160.0,12144.24,981970.73,13084.16,-403.2,989.49,970815.98,-9134.13,257.68,982988.17,268.277,-46.64,-2465.5,-54.81,-54.81,*,*,*
0,3,166.773795,-77.880609,3358382.141219,980791.908085,864.4,2008/12/06,*,13084.16,4.8,2072.8,373.0,-197.0,12144.24,981970.73,13084.16,-233.6,6060.28,975886.77,-5838.27,258.03,982988.17,268.088,-99.8,-637.2,-54.88,-54.88,*,*,*
0,3,166.776504,-77.880558,3358392.771463,980729.064821,863.8,2008/12/06,*,13084.16,5.08,2029.2,646.0,-192.0,12144.24,981970.73,13084.16,-176.9,7755.78,977582.27,-3176.39,258.27,982988.17,267.916,-111.04,-1592.3,-54.97,-54.97,*,*,*
0,3,166.779216,-77.880507,3358403.467682,980666.175501,863.1,2008/12/06,*,13084.16,4.27,1719.0,628.0,-175.0,12144.24,981970.73,13084.16,-140.65,8838.78,978665.26,4116.62,258.52,982988.17,267.694,-99.6,-7813.7,-55.06,-55.06,*,*,*
0,3,166.781929,-77.880455,3358414.223504,980603.242938,862.5,2008/12/06,*,13084.16,2.91,1747.9,481.0,-156.0,12144.24,981970.73,13084.16,100.75,16054.8,985881.28,7724.39,258.83,982988.17,267.487,-60.49,-4244.5,-55.16,-55.16,*,*,*
0,3,166.784645,-77.880402,3358425.029514,980540.265654,861.9,2008/12/06,*,13084.16,2.24,1920.5,512.0,-122.0,12144.24,981970.73,13084.16,191.2,18758.4,988584.89,3045.69,259.11,982988.16,267.321,-112.85,3190.3,-55.28,-55.28,*,*,*
0,3,166.787362,-77.880349,3358435.919871,980477.254126,861.4,2008/12/06,*,13084.16,1.96,2130.3,548.0,-100.0,12144.24,981970.73,13084.16,138.55,17184.0,987010.48,26.88,259.23,982988.16,267.16,-84.08,4605.9,-55.42,-55.42,*,*,*
0,3,166.790081,-77.880295,3358446.889108,980414.209479,860.9,2008/12/06,*,13039.47,2.61,2197.6,568.0,-84.0,12144.24,981970.73,13039.47,-55.3,11344.38,981170.86,2258.19,259.45,982988.16,267.002,-105.03,-3444.0,-55.58,-55.58,*,*,*
0,3,166.792802,-77.88024,3358457.99927,980351.139514,860.4,2008/12/06,*,13039.47,1.99,2019.7,866.0,-113.0,12144.24,981970.73,13039.47,18.6,13553.22,983379.71,3520.67,259.69,982988.16,266.835,-135.58,-2467.0,-55.76,-55.76,*,*,*
0,3,166.795523,-77.880184,3358469.258053,980288.050069,859.9,2008/12/06,*,13039.47,1.27,2234.8,866.0,-57.0,12144.24,981970.73,13039.47,189.3,18656.09,988482.58,6458.0,259.79,982988.16,266.701,-80.66,-356.4,-55.95,-55.95,*,*,*
0,3,166.798245,-77.880127,3358480.597353,980224.959343,859.5,2008/12/06,*,13039.47,-0.71,2398.3,411.0,12.0,12144.24,981970.73,13039.47,230.6,19888.91,989715.39,12445.54,259.78,982988.15,266.558,-26.3,-5165.7,-56.16,-56.16,*,*,*
0,3,166.800968,-77.88007,3358491.92407,980161.85975,859.2,2008/12/06,*,13039.47,-2.14,2696.0,123.0,60.0,12144.24,981970.73,13039.47,404.3,25080.76,994907.25,11615.51,259.78,982988.15,266.47,6.88,823.0,-56.39,-56.39,*,*,*
0,3,166.80369,-77.880013,3358503.220866,980098.76735,859.1,2008/12/06,*,13039.47,-4.69,3206.9,68.0,128.0,12144.24,981970.73,13039.47,367.25,23970.5,993796.99,5511.5,259.63,982988.15,266.406,-36.19,5859.6,-56.64,-56.64,*,*,*
0,3,166.80641,-77.879956,3358514.542633,980035.710995,859.0,2008/12/06,*,13039.47,-7.81,3430.5,266.0,198.0,12144.24,981970.73,13039.47,154.5,17606.59,987433.08,1358.14,259.42,982988.15,266.368,-37.56,3650.1,-56.9,-56.9,*,*,*
0,3,166.809129,-77.879898,3358525.903479,979972.698193,858.9,2008/12/06,*,13039.47,-8.16,3515.9,390.0,190.0,12144.24,981970.73,13039.47,25.65,13753.89,983580.37,-496.35,259.32,982988.15,266.34,-51.93,1666.2,-57.17,-57.17,*,*,*
0,3,166.811846,-77.87984,3358537.331261,979909.716838,858.8,2008/12/06,*,13039.47,-6.54,3481.8,393.0,165.0,12144.24,981970.73,13039.47,-62.8,11111.02,980937.51,-1043.49,259.16,982988.14,266.312,-74.75,-406.9,-57.46,-57.46,*,*,*
0,3,166.814563,-77.879781,3358548.8992,979846.768551,858.7,2008/12/06,*,13039.47,-5.01,3390.3,777.0,127.0,12144.24,981970.73,13039.47,-49.9,11498.23,981324.72,-3828.57,259.24,982988.14,266.276,-67.81,2758.5,-57.76,-57.76,*,*,*
